image_name,Captions,Label
blog 443.jpg,"এরা ঈশ্বরের আদেশে সন্তানহত্যা করে মানসিক রোগী হিসেবে স্বীকৃত, তবে ইব্রাহিম স্বীকৃত নবী হিসেবে",religious aggression
fb 1147.jpg,"তেমন কিছু না, ছেলেটি বলেছে সে মনে মনে নারী!",gendered aggression
KAM (56).png,মানুষের পোলাপান বাইরে কত আকাম করে আর আমি বাসায় বইয়া সারাদিন মোবাইল টিপি আর কম্পিউটার গুতাই তার পরেও আম্মু সারাদিন চিলায় আমার আম্মুর উচিত আমারে লইয়া গর্ব করা,non-aggressive
in 222.jpg,কুন্তল আমার সবটা দেখেছে' জীবনের গল্প শোনালেন সোমা কুন্তলটা ভারি দুষ্টু...,political aggression
blog 264.jpg,"হতাশা ঝেড়ে ফেলো, হে বালক । আমার খ্রিষ্টান বন্ধুদের সকলেই বলে, ঠিক তোমাকে নিয়ে ঈশ্বরের বিশেষ একটি পরিকল্পনা আছে ।",religious aggression
KAM (259).png,পাগলা শেয়াল ভাঙ্গা দেয়াল আর মেয়েদের খেয়াল এই তিনটাকে কখনো বিশ্বাস করতে নেই,gendered aggression
in 625.jpg,একদিনে চার চারটে ডিজাইন পোশাক বদল আমি সারাদিনে এতবার পোশাক বদলাই না!,political aggression
fb 1631.jpg,(আপনি কি মূর্খ) এইভাবে আর কত কাল বন্দি থাকবি? দেখিয়ে দে নারীরা দুর্বল নয়। দেখ মুক্ত আকাশ অনেক মজাদার তুই আমার প্রকৃত বন্ধুরে,gendered aggression
in 337.jpg,"পিসি বলছে, গ্রামে গ্রামে আমাদের 'দিদির দূত' হিসাবে গিয়ে মানুষের কথা শুলতে হবে আপাতত তোলাবাজি বন্ধ কদিন চুরি বন্ধ আমরা কী তাহলে দুর্নীতি একেবারে ছেড়ে দেবো? ভাইপো *তিলু ভবন",political aggression
fb 27.jpg,গিটার বানানো হয়েছে যাতে পাগলেরা প্রোফাইল পিক দিতে পারে,others
blog 75.jpg,"আমি মনে করি, ইহুদিধর্ম একটি বড়ো সমস্যা । ঠিক বলেছো ! আমি মনে করি, খ্রিষ্টধর্ম একটি বড়ো সমস্যা । ঠিক বলেছো ! আমি মনে করি, ইছলাম ধর্ম একটি বড়ো সমস্যা ! তুমি ইসলামোফোবিক, রেসিস্ট ! স্রেফ গুটিকয়েক মুছলিমের কর্মকাণ্ডের কারণে তুমি দোষারোপ করছো ১৫০ কোটি শান্তিপ্রিয় মুছলিমকে !",religious aggression
ovodro_img (692).jpg,ভালোবাসা খুজে পেয়েছি !,non-aggressive
fb 1432.jpg,অত্যাচারিত কৃষকদের সংগঠিত করে বামফ্রন্টের বিরুদ্ধে বিপ্লব? নাহ ভাই। বুর্জোয়া মমতার সাথে হাত মেলাতে হবে তো বল?,political aggression
blog 287.jpg,রমজান মাসে রোজা থাকতে ভুইলো না কিন্তু !,religious aggression
ovodro_img (778).jpg,মরুভুমিতে জল দেখা যায় কিন্তু জল পাওয়া যায় না !,gendered aggression
in 470.jpg,স্যার একটা কথা মাথায় ঘুরছে... বলে ফেল... উনি বেকারদের হটাৎ চা বিস্কুট ঘুগনির কারবার করতে বললেন কেন? গরু কয়লা বালি সোনা নিয়ে কারবার অলরেডি ভাইপো করছে...,political aggression
fb 2058.jpg,"রাত ১ টায় ব্রাজিলের খেলা আছে, তাই তাড়াতাড়ি আউট হয়ে গেলাম এখন না ঘুমালে, কখন? আমরাও আছি তোমার সাথে!",others
in 647.jpg,এশিয়ার সবচেয়ে শক্তিশালী দেশগুলির মধ্যে চতুর্থ স্থানে ভারত দারুণ খবর! তবে মাস্টার স্ট্রোক তো হাঙ্গার ইনডেক্সে ১১৬ টা দেশের মধ্যে ভারতের স্থান ১০২ নম্বরে পৌঁছে দেওয়া ।,political aggression
fb 1298.jpg,ঘর সামলাই দেশও সামলাই,political aggression
fb 812.jpg,ভাত খাওয়ার সময় কোন তরকারি পছন্দ না হওয়ায় যখন ডিম ভেজে খাই | ডিমঃ এইটা বলতে গেলে -আমাদের জমিদারি,others
tangaila (235).jpg,যখন ঘাটাইলের মেয়ে জানতে পারে তার এক্স এখন অনেক টাকার মালিক :- তার এক্স ঘাটাইলের মেয়ে*,gendered aggression
fb 929.jpg,বাবাকে ব্লক করা কোনো আদর্শ সন্তানের কাজ হতে পারে না তাই বাবার আইডিতে ঢুকে নিজেকেই ব্লক মেরে আসলাম,non-aggressive
fb 308.jpg,ট্যাগ এ বান্ধুবী যার দুদু বড়,gendered aggression
fb 1862.jpg,স্বামীর সেবা মহিলার কর্তব্য,gendered aggression
in 408.jpg,অস্থায়ী কেন? মমতার দেওয়া চাকরি ফেরালেন মালবাজারের নিহতের ভাই,political aggression
in 372.jpg,এবার কি ১৬৯৪ শিক্ষাকর্মীর নিয়োগ বাতিলের পথে? নম্বরে কারচুপি করে চাকরি পাওয়ার অভিযোগ আমরা কি ঐতিহাসিক রেকর্ড গড়তে চলেছি!? হ্যাঁ বাবু সোনা....,political aggression
in 492.jpg,দড়ি ধরে মারো টান পিসি হবে খান খান...,political aggression
blog 465.jpg,"যদি একজন স্ত্রীলোক একটি শিশু পুত্রের জন্ম দেয়, তাহলে সেই স্ত্রীলোকটি সাতদিন ধরে অশুচি থাকবে। কিন্তু যদি স্ত্রীলোকটি এক শিশুকন্যার জন্ম দেয়, তাহলে দু সপ্তাহ ধরে সে অশুচি থাকবে। বাইবেল, লেবীয় পুস্তক ১২: ২, ৫",religious aggression
blog 470.jpg,ষোলো সহস্র কামিনীর সাথে সঙ্গম করে ক্লান্ত? বদলাবে স্বাদ? ওরে পোপ - দুটো কচি দেখে খোকা আন তো!,religious aggression
chosha (91).jpg,বলতো সবাই দুয়ে (২) + দুয়ে (২) = কি হয় ? ম্যাডাম দুয়ে দুয়ে দুধ বেড় হয়,gendered aggression
in 217.jpg,"""সিপেম সব চাকরি খেয়ে নিচ্ছে' বলে কান্নাকাটি করা পিসি বিকাশরঞ্জন ভট্টাচার্য",political aggression
KAM (519).jpg,কিছুদিন আগে যারা ফ্রান্সের পতাকা প্রোফাইল পিক দিয়েছিল এখন তারা ফ্রান্সে বসে ফেসবুক চালাচ্ছে,others
blog 12.jpg,"যখন জানতে পারলেন, আপনার স্ত্রী ফেসবুকের বিভিন্ন ভোটে অংশ নেয়ার অধিকার রাখে অ্নুবাদ: তবে যখন আপনার মনে পড়ে যায়, ১৩ বছরের কম বয়সীরা ফেসবুকে নিবন্ধন করতে পারে না",religious aggression
fb 810.jpg,ভ্রমন খরচ বাঁচাতে কক্সবাজার ঘুরতে যাওয়া বন্ধুকে দিয়ে সমুদ্রের পানি আনিয়ে তা দিয়ে গোসল করার পর একটু চালাক না হইলে দুনিয়াতে টেকা খুব মুশকিল,non-aggressive
bamboo-vaiya (19).jpg,"ছিদ্র ছোট তো তাই ঢুকতেছে না ! তেল দিয়ে দিবো ! দেও তোমার ইচ্ছা ! এবার ঢুকছে ! হুম পুরাটা ঢুকছে বাল, মানুষ এতো ছোট আংটি কিনে !",gendered aggression
in 322.jpg,দাদা; নেতাজি দেখান.... সস্তার কিছু নেই!,political aggression
blog 362.jpg,"ইয়া মাবুদ, আমি কাফেরগুলার শিরশ্ছেদ করতে পারি, কচি বালিকারে বিবি বানাইতে পারি, গনিমতের মালের সাথে ছহবত করতে পারি, কিন্তু বেকন-বিয়ার খাইতে পারি না ক্যান? এইডা তুমার কেমুন বিচার!",religious aggression
fb 489.jpg,নেন ভাই পানি.... ফেইসবুকে পাঞ্জাবী আর সালামি ভিক্ষা করতে করতে ক্লান্ত হয়ে গেছেন,others
fb 1657.jpg,যখন সহীভাবে আরবী পড়তে গিয়ে উচ্চারনে ভুল হয় বাসার হুজুরঃ,religious aggression
KAM (116).jpg,আপনার এক্স গার্লফ্রেন্ড কে অন্য কারো সাথে দেখে কষ্ট পাবেন না বরং এটা ভেবে খুশি থাকুন আপনার ব্যবহার করা জিনিস অন্য কারো কাছে নতুন,gendered aggression
fb 609.jpg,বুড়ার এক পা কবরে গেছে গা! তাও জোর কমে না,others
Bangla Thug Life (232).jpg,মেয়েদের থেকে ছেলেদের পাশের হার বেশি হওয়া শর্তে পত্রিকায় মেয়েদের ছবি আসে কেন ? কারণ:,gendered aggression
fb 1635.jpg,হযরত মোহাম্মদ সঃ এর ব্যবহার করা তলোয়ার। আপনার ইচ্ছা হলে করে সবাই কে দেখানোর সুযোগ করে উপহার দিতে পাড়েন। প্রশ্ন : ইসলাম ধর্ম প্রতিস্টায় কি তলোয়ার লাগে ??????? যিশু অথবা বুদ্ধ তলোয়ার ছাড়াই ধর্ম প্রচার করেনি ?,religious aggression
KAM (172).png,২১/২২ তারিখে নাকি ফেসবুক বন্ধ কইরা দিবো?তাইলে সারা দিন ঘরে বইসা বইসা কি করমু?বুঝছি..এখন সরকার বিরধি আন্দোলনে নামা লাগবো,political aggression
fb 425.jpg,এ আবার এখন বলছে অমিত কে বলে ওদের ওখানেও সরকার গঠন করিয়ে দিতে,political aggression
ovodro_img (492).jpg,বুম্বাদা হাতটা সরাও । সবাই দেখছে ! আ আ ... আমি টিপে ধরি নি,others
bamboo-vaiya (389).jpg,"দোস্ত একটা মেয়ে খুজে দে পিরিয়ড নিয়ে রচনা লিখ, মেয়ে এমনি এমনি পেয়ে যাবি",gendered aggression
Bangla Thug Life (363).jpg,বয়ফ্রেন্ড থাকা সত্ত্বেও যখন মেয়েটি তার বেষ্টফ্রেন্ড কে বেশি পাত্তা দিয়ে ফেলে বিধি তুমি বলে দাও আমি কার,gendered aggression
bamboo-vaiya (303).jpg,বিভিন্ন দেশের পারমাণবিক বোমা ... আমেরিকা রাশিয়া ইন্ডিয়া বাংলাদেশ,others
in 490.jpg,এত নোংরামি দেখলে আগেই রাজনীতি ছেড়ে দিতাম: মমতা এমন কিছু দেরি হয়ে যায়নি এখন যখন জেনেই গেছেন তাহলে সবাইকে একটু স্বস্তি দিন প্লিজ।,political aggression
fb 1062.jpg,তুমি জানো আমি কে? আপনাকে জানার মায়েরে চু#,others
fb 1940.jpg,যখন তোমার নিজস্ব পানু চ্যানেল খোলার ইচ্ছে থাকলেও পরিবারের চাপে রান্নার চ্যানেল খুলতে হয়,gendered aggression
KAM (103).jpg,কিরে জলিল কাল নাকি পাবলিক তোকে গন ধোলাই দিছে হুম... কি অপরাধ করলি আবার আর বলিসনা এক মাহিলার পায়ের নিছে আমার একটা ফটো পরছিল মাইর দিল কেন আমি শুধু কইছি আফা শাড়ী টা উপরে তুলেন ফটো তোলব তো...,others
blog 187.jpg,হায় আল্যা! আমি তো আমার মতোন হইয়া যাইতেসি !,religious aggression
Halal Memes (337).jpg,"হে আমার প্রতিপালক, আমাকে শক্তি দিন আমি যেন বাংলা নাটকে আরো বেশি কান্না করতে পারি",others
fb 461.jpg,অসাধারণ একটি ছবি এর অর্থ টা বুঝতে চেষ্টা করুন,non-aggressive
KAM (100).jpg,পরীক্ষার আগের রাতে বারোটার সময় ঘুমে চোখ বন্ধ হয়ে আসে অন্যান্য রাতে ৩টা বাজলেও চোখ খোলা পুরাই উলালা মুড,non-aggressive
fb 1245.jpg,শিক্ষিত'র চেয়ে সার্টিফিকেট বেশী স্কুল হাইস্কুল কলেজ ভার্সিটি ইউনিভার্সি শিক্ষার আগাছা বেশী,others
fb 41.jpg,সিঙ্গেল বেতন ১৫০০০ টাকা বেতন ৫০০০ টাকা বিবাহিত বেতন ০ টাকা বেতন বেতন ২০০০০ টাকা,gendered aggression
fb 1343.jpg,মুসলিম ছেলের দ্বারা হওয়া নারী বিদ্বেষী ঘটনায় প্রতিবাদ করা। হিন্দু ছেলেদের দ্বারা ধর্ষণের সপক্ষে মিছিল করা,political aggression
Bangla Thug Life (311).jpg,আয়রে ভাই দলে দলে পুতিন ভাইয়ের ভ্যাক্সিন নিতে বাইঞ্চোদ পুতিন বলিয়া করোনা যাবে এবার চলিয়া,political aggression
Bangla Thug Life (290).jpg,জবা কি পারবে অপু ভাইকে ফিরিয়ে আনতে ?,others
in 504.jpg,"১২৫ ফুট পতাকার দড়ি চুরি নিউটাউনে, কাঠগড়ায় তৃণমূল চুরি *তৃণমূল",political aggression
chosha (118).jpg,যখন আমরা গালফ্রেন্ডের মুখে ললিপপ চুষতে দেই,gendered aggression
fb 1249.jpg,বাংলাদেশ ভারত ভাই ভাই থাম! মুদিরভাই,political aggression
Halal Memes (126).jpg,যখন তোমার রুমে শুধুমাত্র একটা চেয়ার থাকে !! লে তোমার অবস্থা:-,non-aggressive
KAM (112).png,বলো সেমিস্টার সিস্টেমের সুবিধা কি? সুবিধা তো জানি না কিন্তু বছরে ২ বার বেইজ্জতি ঠিকই হয় !,non-aggressive
fb 799.jpg,আমার ছেলে মানকি আমার বার্থডে কবে সেটা জানে না কিন্তু নেইমার রোনালদোকে ঠিকই রাত ১২টায় উইশ করে!,others
fb 1182.jpg,বন্ধু বিষপান করে ফেলেছে তাই মোটামাপের ব্যাসযুক্ত টিপওয়ালা সুশীল শাহবাগী দেখিয়ে দিলাম,others
Halal Memes (248).jpg,সিনিয়র আপুদের নিয়ে আমি যা ভাবি তারা আমাকে নিয়ে যা ভাবে,gendered aggression
Halal Memes (252).jpg,সিরিয়ালে নায়িকা যখন শ্বাশুড়ির সাথে বিদ্রোহ করে * বাঙালি শ্বাশুড়ি কিন্তু যখন নিজের ছেলের বউ কোনো একটা ভুল করে,others
fb 208.jpg,বউভাতের দাওয়াতে গিয়ে ভাত খাওয়া পর আমি* বউ দিলেন না স্যার,non-aggressive
KAM (20).jpg,সুয়ারেজ তুমি ট্রেনের মধ্যে মহিলাদের কামড় দিয়েছিলে কেন? কি করবো বলেন... ওখানেতো লেখা ছিল মহিলাদের কামরা!,others
blog 247.jpg,এর সাথে কুকুরের স্বভাবের কোনও সম্পর্ক নেই । যেমন নেই কোরান ও নবীর কর্মকাণ্ড থেকে অনুপ্রাণিত সন্ত্রাসী ঘটনাগুলোর সঙ্গে ইছলামের সম্পর্ক,religious aggression
nurani-memes (176).jpg,যখন আপনি একটা সিগারেট ধরান আর ঠিক সেই সময় পরিচিত কেউ আসার কারনে ফেলে দিতে হয়,non-aggressive
Halal Memes (293).jpg,ক্লাসে প্রেজেন্ট দিয়ে বেঞ্চে বসতে যাওয়া বন্ধু* *পিছন থেকে কলম খাঁড়া করে রাখা আমি,others
in 40.jpg,ঈদের শপিং করতে নিউমার্কেট যাচ্ছি,non-aggressive
fb 162.jpg,বরের কথায় উঠবো আর বসবো বরের কথায় উঠবো আর বসবো,gendered aggression
in 570.jpg,"আমি তৃণমূল করিনা তবে দেখলাম, জাগো বাংলা স্টলে এবছর দারুণ ভিড় হচ্ছে ... হ্যাঁ, আমিও তাই দেখে ছুটে গিয়ে স্টলে জিজ্ঞেস করলাম ""সিপাহী বিদ্রোহে তৃণমূলের অবদান"" বইটা আছে? খিস্তি দিয়ে দিলো!",political aggression
fb 1710.jpg,"মোমিনরা বলতে চায় আল্লাহর নামে এই পৃথিবীতে সর্বত্র এত প্রমাণ রয়েছে এটি একটি সত্য । আল্লাহ মহান দয়ালু, কুরআন মজীদে বলেন, আল্লাহ শীঘ্রই মহাবিশ্বে তার নিদর্শনাবলী দেখাবো, যতক্ষণ না তাদের কাছে এটি স্পষ্ট হয়ে যায় যে এটি সত্য| এটা আল্লাহর যথেষ্ট প্রমান নয় ? হাস্যকর কু যুক্তি। আমাদের দেশে তো সাঈদিকে চাঁদে দেখা গিয়েছিল । তার মানে কি দাড়ায় সাঈদি আল্লাহর সমকক্ষ ?",religious aggression
in 51.jpg,আমাকে ধৈর্য শিখাও? প্রেম করার বয়সে সিঙ্গেল আছি,non-aggressive
fb 1254.jpg,নারীদের মটিভেশন দেয়া নারীর সংসারও তিনবার ভেঙ্গেছে,gendered aggression
fb 377.jpg,গাঁজাখোর দের আমরা যেরকম মনে করি আসলে তারা যেমন হয়,others
fb 1502.jpg,মুখ্যমন্ত্রী পাগল থানায় চল দেখাচ্ছি তোকে কে পাগল! আমিতো ঝাড়খন্ডের মুখ্যমন্ত্রীর কথা বলেছিলাম স্যার আমাকে বোকা পেয়েছিস? আমি জানিনা কোথাকার মুখ্যমন্ত্রী পাগল!,political aggression
fb 564.jpg,বন্ধুটা ভালোই ছিল কিন্তু কথায় কথায় টুনটুনি তে হাত দেয়ার স্বভাব ছিল,others
chosha (120).jpg,ব্রেকাআপের পর কাবীর সিং নয় জনি সিন্স হবার চেষ্টা করুন,gendered aggression
in 458.jpg,"*পিসি বাজপেয়ী ভালো, আডবানী খারাপ আডবানী ভালো, মোদী খারাপ মোদী ভালো, শাহ খারাপ",political aggression
in 233.jpg,"আমি ষড়যন্ত্রের শিকার', এবিপি আনন্দে বললেন হৈমন্তী সে তো আমরা আমাদের খাট আমাদের বাগানবাড়ি সবাই ষড়যন্ত্রের শিকার",political aggression
KAM (89).jpg,২০২১ সালের মধ্যে বাংলাদেশ বিশ্বসেরা ক্রিকেট দল হবে ক্ষমতায় এলেই বিশ্বকাপ এনে দিব... ইনশাআল্লাহ,political aggression
KAM (178).png,আমাদের টিমে আছে ১১টা খেলোয়াড় !! আর ইন্ডিয়ান টিমে ১৪ টা খেলোয়াড়!! ১১ জন মাঠে খেলে আর ৩ জন সিদ্ধান্ত নিয়ে খেলে!,others
Bangla Thug Life (156).jpg,এই বান্টি তোর সাবান স্লো নাকি রে ? বালপাকনামি কম সোদাও । করোনা ভাইরাস ধরলে বুঝবা ।,others
KAM (194).png,সবাই জান্নাতে যেতে চায় কিন্তু কেউ মরতে চায় না !! তেমনি সবাই ভাল রেজাল্ট করতে চায় কিন্তু কেউ পড়তে চায় না !!,non-aggressive
blog 330.jpg,আপনি কি মাত্র ৫০ বছরের পুরনো কম্পিউটার ব্যবহার করতে চাইবেন? তাহলে আপনি ১৪০০ বছর আগে প্রণীত জীবনবিধান অনুসরণ করেন কেন?,religious aggression
in 616.jpg,"শান্তিতে ভোট দিয়েছে মানুষ, আমি খুশি, ভোট দিতে গিয়ে বললেন মমতা বন্দ্যোপাধ্যায় ত্রিপুরার পঞ্চায়েত ভোটও মানুষ শান্তিতে দিয়েছিল, আমিও খুব খুশি হয়েছিলাম...",political aggression
blog 455.jpg,"বিশ্বাস নিয়ে কটাক্ষ করলে ইসলামের পিলার নড়বড়ে হয়ে যায়। এই পিলার আবার ইট, বালু, সিমেন্ট দিয়ে মেরামত করা যায় না। রক্ত প্রয়োজন হয়। নাস্তিক, মুরতাদদের রক্ত... - ওয়াশিকুর বাবু",religious aggression
fb 894.jpg,বন্ধুটা ভালোই ছিল কিন্তু সব সময় হুডির ফিতা টান দিতো,others
KAM (117).jpg,সামনে পহেলা বৈশাখ একটা ড্রেসও কেউ গিফট করলো না এতোগুলা পচা,non-aggressive
KAM (429).jpg,আমি সিধুকে ঘৃণা করি না কারণ আম্মু বলসে প্রতিবন্ধীদের ঘৃণা করতে হয় না,others
fb 827.jpg,মোটা ভুঁড়িয়ালা বন্ধু *আমি দেখি বন্ধু তোমার ভুঁড়ি চিপে দেই একটু,others
fb 15.jpg,আমার ফেসবুক হোমপেইজের অবস্থা এখন,non-aggressive
ovodro_img (337).jpg,চুটকীর বরের ডায়লগ টা মনে করো... সময় এসে গেছে বাওয়া,others
fb 1560.jpg,"নাস্তিক আফগানিস্তানে ১০৫ জন শিশু হাফেজ খুন ! তাতে কি হইছে? ফিলিস্তিন, সিরিয়ায় লক্ষ লক্ষ নিরীহ শিশু, নারী খুন! তাতে কি হইছে? অত্যাচারের প্রতিরোধ গড়তে ঝাপিয়ে পড়লো মুসলিমরা! ইশশশ... মুসলিমরা নিষ্ঠুর, বর্বর, জঙ্গি!",religious aggression
fb 1412.jpg,দেশভক্তির নামে জনগণকে বোকা বানিয়ে টাকা কামানো বাবা রামদেব অক্ষয় কুমার,others
in 600.jpg,"ও মশাই শুনেছেন, মদনকে প্রথম মদ খাইয়েছে শুভেন্দুর বাবা! মদন কার কাছে মদ খাওয়া শিখেছে সেটা গুরুত্বপূর্ণ নয়! গুরুত্বপূর্ণ হলো, মদন কার কাছে ঘুষ খাওয়া শিখেছে",political aggression
direct-offense (26).jpg,রাকিবকে ব্লক দিছো কেন ? পলিথিন ছাড়া ফ্রিজে মাংস রাখতে এসেছিলো,gendered aggression
blog 41.jpg,"আমি স্মার্টফোনে কোরান পাঠ করি: আর তাদেরকে হত্যা কর যেখানে পাও সেখানেই (সুরা ২:১৯১) খুব শীঘ্রই আমি কাফেরদের মনে ভীতির সঞ্চর করবো । (সুরা ৩:১৫১) হে ঈমানদারগণ, তোমাদের নিকটবর্তী কাফেরদের সাথে যুদ্ধ চালিয়ে যাও । (সুরা ৯:১২৩) লন্ডনে সন্ত্রাসী হামলা",religious aggression
ovodro_img (746).jpg,জীবনে প্রথমবার প্রেম করে ব্রেকআপ হওয়ার পর ** পাগল হয়ে যাব আমি পাগল হয়ে যাব,non-aggressive
Bangla Thug Life (175).jpg,বলতো % চিহ্নটি কখন দেখা যায় কোনো মেয়ে যখন গাড়িতে সিটবেল্ড লাগিয়ে বসে থাকে,gendered aggression
fb 1199.jpg,আশ্চর্য ভাই আপনারা বুঝজেছেন না কেন? আমি দুনিয়াতে পীর বাবার মুরিদ ছিলাম !,religious aggression
fb 1802.jpg,কষ্ট তো তখনই লাগে যখন দেখি বায়ার্ন হারার কারণ এ মাদ্রিদ ফ্যানরা কাঁদে,others
bamboo-vaiya (378).jpg,"কল করে প্রতিবার করোনার সতর্কবার্তা শোনার পর- আল্লাহ, কি বলার জন্য ফোন দিসিলাম",non-aggressive
in 102.jpg,করোনায় আক্রান্ত 'টুম্পাসোনা',others
ovodro_img (63).jpg,এই দেখ ভাই তোর জন্য কী ডাউনলোড করেছি ? এখন তো উঠে যা ।,gendered aggression
fb 1092.jpg,"ব্রাজিল দলের কেন নেই ২৪ নম্বর জার্সি? সমকামীদের নম্বর ২৪, তাই এই নম্বরের জার্সি নেই ব্রাজিল দলে |",gendered aggression
fb 1093.jpg,আমারে স্যার ডাকবা,others
blog 56.jpg,"আল্যার কি পুত্রসন্তান থাকতে পারতো? অসম্ভব! (সূরা আল আন-আম, ৬:১০১) আল্যার কি পুত্রসন্তান থাকতে পারতো? পারতো, তিনি চাইলে । (সূরা আল-যুমার ৩৯:৪)",religious aggression
fb 1956.jpg,"গতকাল ইউরো কাপ খেলায় টিকটকের বিজ্ঞাপন দেয়া হয়েছে তুমি কী দেখেছো? টিকটকার: দিন, রাত ছাগলামি কইরা কূল পাইনা খেলা দেখব কখন",others
fb 1860.jpg,দেখ ওরা বলে টি-২০ তে ওয়ার্ল্ড চ্যাম্পিয়ন*,others
ovodro_img (678).jpg,তারমানে তুমি বলতে চাইছো পাতা পাতা না খেললে রক আসে না বলতে চাইছি নয় বলছি,others
fb 592.jpg,মেসি / দিবালা / মারিয়া বিডি তে আসার খবর শুনে লে টিকটকারস : আয় না খালি,others
fb 1761.jpg,প্রচুর শীত তাই সবাই মিলে একটু গড়ম হচ্ছি,gendered aggression
in 642.jpg,আজ লন্ডভন্ড দিবসের বর্ষপূর্তি,political aggression
fb 1561.jpg,নাস্তিকরা যেভাবে মানবতার সেবা করে ..,religious aggression
ovodro_img (200).jpg,"কখনও কখনও মনে হয় বিরাট কোহলি মানুষ নয় , ভগবান ।",non-aggressive
fb 244.jpg,ফর্সা সুন্দরী বাঙ্গালী মেয়ে বিসিএস ক্যাডার,gendered aggression
blog 66.jpg,কে কে শরিয়া আইন চান ? কে কে সৌদি আরবে বাস করতে চান ? কে কে ইউরোপে বাস করতে চান ?,religious aggression
KAM (37).png,"জি আপা, বলেন জিয়ারে কি দলে নেয়ার ব্যবস্থা করা যায় না?",political aggression
fb 1081.jpg,আমাদের সাথে খেলবি ও এখন নেক্সট লেভেল এ খেলবে,others
in 550.jpg,"বিক্ষোভের মুখে ফিরলেন মন্ত্রী ববি হাকিম আমরা তো ডাকিনি, কেন এসেছেন? গ্রামবাসী",political aggression
in 158.jpg,গরমের সময় স্যান্ড পরিস আরাম হবে,political aggression
fb 1600.jpg,"দেনমহর মানে বেশ্যাবৃত্তি এটাই নাস্তিকদের দাবি নাস্তিক এক্স মুসালম আপনি কি আগে মুসলিম ছিলেন? যুক্তিবাদী হ্যাঁ, ধার্মিক পরিবার ছিল আমি এক্স মুসলিম নাস্তিক এক্স মুসলিম আপনার কথা অনুপাতে আপনার মা কি বেশ্যা ছিল? যুক্তিবাদী নাস্তিকঃ",religious aggression
fb 967.jpg,ভদ্র ছেলে গাঁজাখোর ছেলে সুন্দরী মেয়েদের মনের ভিতর যারা থাকেঃ,others
fb 12.jpg,"দেশী পিচ্চিদের অবস্থা, যখন বলে... আপনার মোবাইলে গেমস আছে?",non-aggressive
fb 815.jpg,যখন আপনি কোথাও ঘুরতে গিয়ে নিজের একটা সুন্দর ছবি তুলতে পারেন না আমার কোন লাভ লস নাই আমার পুরা সময়টাই লস,non-aggressive
blog 326.jpg,ঈশ্বর সত্য। আপনি আমার কথা বিশ্বাস করছেন না? এই ইউটিউব লিংকটা দেখুন । এর অর্থ - সেই অতিলৌকিক সত্তার অস্তিত্বের প্রমাণ আছে ইউটিউবে?,religious aggression
ovodro_img (549).jpg,বলিউড না টলিউড হিরোইন দের বিয়ে করতে চাও ? টলিউড হিরোইন দের ভুল ডিসিশন । কারন টলিউড হিরোইন রা এক একজন তিন তিন বার করে বিয়ে করে,others
bangla-gag (49).jpg,সারা বছর ভুমিকম্পের পর,gendered aggression
KAM (89).png,আমি এই দুইটাকে ঘৃনা করি না! কারন আম্মু প্রতিবন্দিদের ঘৃনা করতে মানা করেছে!,others
in 63.jpg,বিয়ে করা এতটাও জরুরি হয়ে গেছে কারো? জরুরী - বিবাহ,non-aggressive
fb 1834.jpg,সূর্যের নজর টাও আমার মতো দুষ্টু,gendered aggression
fb 560.jpg,আজকে আমার ফার্স্ট টাইম,gendered aggression
fb 1463.jpg,"নাস্তিক: কুরবানির নামে গরু জবাই করা অমানবিক, ওদের তো জীবন আছে... আমি: আপনার পায়ের চামড়ার জুতা বেশ মানাচ্ছে *নাস্তিক",religious aggression
blog 459.jpg,"ধর্মগুলো নিয়ে প্রধান একটি সমস্যা: সমস্ত উত্তর নাকি তাদের জানা আছে, তবে কেন জানি প্রশ্ন করা নিষেধ!",religious aggression
fb 1815.jpg,- রাত ১০ টায় গুলিস্তান থেকে বাসায় আসার পথে দুষ্টু আপুর দলের সাথে দেখা বিদ্যমান *লে লুইচ্চা বন্ধু-- এইযে আপু হবে নাকী?,gendered aggression
tangaila (338).jpg,ভার্সিটির দামড়া বড় ভাই ক্লাস ৯ এর বিন্দুবাসিনীর নিব্বি,gendered aggression
fb 1684.jpg,বলো দেহি.. কেনু কয়েক হাজার বছর আগে আমাদের পুর্ব পুরুষদের মধ্যে মনুষ্য নামের একটা প্রজাতি বিলুপ্ত হয়ে গেসে ..? কুন পন্থায় কাল্পনিক এক ঈশ্বরকে সন্তুষ্ট করে মৃত্যুর পরও লাগালাগি করা যাবে সেটা নিয়ে নিজেরা নিজেরা কুপাকুপি করে বিলুপ্ত হয়ে গেসে,religious aggression
ovodro_img (707).jpg,তোদের বাবা কোথায় গিয়ে লুকিয়ে পড়ল ! আসছেই না তাড়াতাড়ি কর । তোমার বৌ আর ছেলে মেয়ে তোমার কথাই বলছে,gendered aggression
tangaila (248).jpg,মেয়ে গার্লসের ছাত্রী এখন কুমুদিনীতে পড়ে দেখতে সুন্দর বাবার টাকা আছে প্রচুর কিন্তু মেয়ে বিটিএস ফ্যান,others
ovodro_img (703).jpg,এমন গাড় ঘোলা সাদা চা কী করে হয় ? এটা কী চা গো ? এটা উত্তেজনার ফলে নিঃসৃত সুপার ন্যাচারাল চা,gendered aggression
